name,FGA,FGM,FT%,3PT%,PTS,REB,AST,ST,BLK,TO
Michael Porter Jr.,383,195,0.833,0.422,512,259,46,27,25,49
Donte DiVincenzo,510,232,0.733,0.336,610,318,154,85,20,90
Kevin Huerter,610,252,0.828,0.38,684,228,213,51,27,87
Robert Williams,88,64,0.647,0,150,128,27,22,35,21
Jalen Brunson,388,181,0.813,0.358,466,134,188,22,4,66
Devonte' Graham,963,368,0.82,0.373,1145,212,471,62,15,181
Mitchell Robinson,341,253,0.568,0,590,428,36,52,119,37
Gary Trent Jr.,441,196,0.822,0.418,541,100,61,48,16,21
Duncan Robinson,687,323,0.931,0.446,983,232,102,35,19,70
Kendrick Nunn,914,401,0.85,0.35,1024,180,220,56,15,114
Zion Williamson,360,210,0.64,0.429,540,150,50,16,9,59
Ja Morant,937,447,0.776,0.335,1193,259,488,58,18,220
RJ Barrett,727,292,0.614,0.32,803,279,143,55,17,124
De'Andre Hunter,683,280,0.764,0.355,778,286,112,44,18,103
Darius Garland,699,280,0.875,0.355,728,111,229,42,4,151
Coby White,792,312,0.791,0.354,859,230,175,49,6,109
Cam Reddish,554,213,0.802,0.332,610,216,87,62,28,96
PJ Washington,589,268,0.647,0.374,710,316,123,51,44,93
Tyler Herro,631,270,0.87,0.389,743,224,121,34,9,87
Brandon Clarke,479,296,0.759,0.359,700,345,81,32,48,55
Darius Bazley,317,125,0.694,0.348,342,246,41,23,41,45
Keldon Johnson,89,53,0.795,0.591,154,57,15,14,2,13
Anthony Edwards,0,0,0,0,0,0,0,0,0,0
James Wiseman,0,0,0,0,0,0,0,0,0,0
LaMelo Ball,0,0,0,0,0,0,0,0,0,0
Tyrese Haliburton,0,0,0,0,0,0,0,0,0,0
Saddiq Bey,0,0,0,0,0,0,0,0,0,0
Jae'Sean Tate,0,0,0,0,0,0,0,0,0,0
Derrick Jones Jr.,349,184,0.772,0.28,500,233,62,58,38,30
Udonis Haslem,11,4,0.75,0.333,12,16,1,0,0,1
Andre Iguodala,88,38,0.4,0.298,96,78,51,14,21,26
Trevor Ariza,324,142,0.838,0.372,423,246,91,69,15,56
Rudy Gay,596,266,0.882,0.336,726,362,114,35,33,88
JJ Redick,631,286,0.892,0.453,917,151,119,20,10,75
Rajon Rondo,328,137,0.659,0.328,342,142,240,40,2,91
P.J. Tucker,426,177,0.813,0.358,500,476,115,77,36,72
Paul Millsap,438,211,0.816,0.435,591,293,83,44,30,70
Jared Dudley,60,24,1,0.429,68,52,28,15,3,8
Marc Gasol,279,119,0.735,0.385,331,275,147,34,38,59
D.J. Augustin,461,184,0.89,0.348,599,122,262,34,1,86
Robin Lopez,299,147,0.528,0.333,357,161,45,10,45,63
JaVale McGee,306,195,0.646,0.5,446,390,37,36,94,55
George Hill,376,194,0.842,0.46,554,177,180,47,5,57
James Johnson,215,103,0.646,0.363,270,118,74,25,32,48
Jeff Teague,489,213,0.873,0.368,641,142,308,44,19,116
Taj Gibson,286,167,0.732,0.286,379,267,52,27,30,47
Wayne Ellington,174,61,0.846,0.35,183,65,44,13,4,18
Patrick Beverley,341,147,0.66,0.388,405,266,183,54,25,66
Danny Green,474,197,0.688,0.367,547,225,91,85,32,63
Patty Mills,598,258,0.866,0.382,767,108,118,53,6,54
Garrett Temple,587,222,0.805,0.329,641,218,156,49,29,62
Wesley Matthews,422,167,0.765,0.364,494,166,92,38,9,43
Derrick Favors,339,209,0.563,0.143,459,501,81,30,46,55
Al-Farouq Aminu,86,25,0.655,0.25,78,87,21,18,8,17
Ed Davis,46,22,0.5,0,51,105,12,11,9,13
Patrick Patterson,233,95,0.814,0.39,292,151,41,7,3,21
Avery Bradley,383,170,0.833,0.364,423,115,63,43,5,47
Nemanja Bjelica,653,314,0.821,0.419,831,458,203,62,40,99
Ish Smith,689,308,0.721,0.367,740,219,334,59,30,95
Bismack Biyombo,278,151,0.603,0,393,308,50,10,49,48
Klay Thompson,0,0,0,0,0,0,0,0,0,0
Markieff Morris,458,203,0.776,0.386,560,218,77,31,17,76
Marcus Morris Sr.,810,355,0.823,0.408,1033,311,86,47,30,97
Iman Shumpert,64,21,0.571,0.242,54,34,12,12,2,10
Reggie Jackson,326,134,0.833,0.393,370,92,126,13,5,51
Cory Joseph,412,171,0.857,0.352,458,188,251,53,21,80
E'Twaun Moore,437,186,0.689,0.377,466,131,78,32,11,40
Brad Wanamaker,362,162,0.926,0.363,487,144,179,61,14,76
Austin Rivers,501,211,0.703,0.356,596,175,113,49,10,50
Meyers Leonard,234,119,0.643,0.414,309,260,55,14,15,39
Jeremy Lamb,479,216,0.836,0.335,577,200,96,55,22,50
